season,team_id,venue_id,venue_name_short,name_display_club,is_diff_configuration,distance_lf_line,distance_lf_gap,distance_cf,distance_rf_gap,distance_rf_line,distance_deepest,height_lf_line,height_lf_gap,height_cf,height_rf_gap,height_rf_line,height_highest,avg_fence_distance,avg_hr_distance,fence_area,avg_fence_height,year,elevation_feet,n,avg_roof,avg_daytime,avg_temperature,extra_distance,temperature_extra_distance,elevation_extra_distance,roof_extra_distance,environment_extra_distance,n_year_venue_roof_for_cool_hot_code,avg_temp_cool,extra_distance_cool,avg_temp_warm,extra_distance_warm,avg_temp_hot,extra_distance_hot
2019,121,3289,Citi Field,Mets,0,334.8955149758299,367.7957500232175,407.7963525092701,372.7874406301871,329.7875930302848,408.77460450091974,12.219,8.09,8.289,8.26,8.19,12.219,371.06229669864143,379.210902254197,108139.29601904558,8.148605555555553,2019,10,140,0,27,73.1,-2.9,-0.3,-2.4,0,-0.2,140,61.5,-4.6,75.6,-2.4,82.4,-1.6
2019,133,2397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,133,10,Oakland Coliseum,Athletics,0,329.34057221568094,370.3401624149039,399.15903218877196,370.6925687380992,329.6966830211066,400.4046972957135,7.95,14.819,7.738,14.74,7.9,15.359,370.3460151763602,381.3571596208046,107722.20476826116,11.011144444444442,2019,3,172,0,43,67.6,-0.9,-2.5,-2.4,0,4,172,61.5,-4.8,67.1,-0.8,74.2,2.8
2019,134,31,PNC Park,Pirates,0,324.17558978126993,399.9045280178261,398.3762586780052,378.21367829888106,319.5807032152371,409.34447280908256,5.258,5.259,9.99,10.13,22.129,22.689,373.3964419333232,384.949869711101,109504.06262905257,11.553427777777781,2019,780,143,0,43,75,1,0.4,1.4,0,-0.8,143,66.4,1.3,75.4,-1.8,83.3,3.6
2019,134,2735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,135,2680,Petco Park,Padres,0,334.55280355058005,379.9246071119057,395.5525346842814,388.3801050911062,321.6012099649067,398.90372059033297,4.61,6.32,7.36,7.538,9.1,9.1,370.4138668777981,377.1642668777981,107761.68030808566,6.750400000000002,2019,23,146,0,27,68.9,-4.6,-2,-2.3,0,-0.3,146,63.2,-7.9,68.3,-3.6,75.3,-2.4
2019,136,680,T-Mobile Park,Mariners,0,331.14420142250236,379.173908697196,400.9304086470962,382.19787634914286,327.2637791112065,405.665358807358,7.564,7.602,7.551,7.551,7.464,7.602,367.7075567794741,375.2454790016963,106192.78035450427,7.537922222222219,2019,10,166,4,39,65.2,-6.4,-3.4,-2.4,0.2,-0.8,160,57.7,-10.3,66,-5.1,72.8,-5.2
2019,137,2395,Oracle Park,Giants,0,339.7648784746855,376.62932483404495,398.6552705332078,419.37141881014054,303.97202987834584,419.37141881014054,8.047,8.099,8.047,8.047,23.794,23.794,373.91595043826715,386.24562266048935,109808.9817978707,12.329672222222223,2019,0,164,0,40,66.4,-4.9,-2.9,-2.4,0,0.4,164,58.9,-6.7,63.6,-7.3,76.5,-0.7
2019,138,2889,Busch Stadium,Cardinals,0,334.9178396256335,390.5737652453552,399.3634042103695,390.5003821747929,335.0897677518956,400.8400253851781,7.538,7.54,7.538,7.54,7.538,7.54,377.1509298782464,384.6885632115798,111717.25265383023,7.537633333333333,2019,460,170,0,41,75,0,0.4,-0.2,0,-0.2,170,63.3,-2.9,76.7,0,84.9,2.9
2019,139,12,Tropicana Field,Rays,0,313.17526925490677,383.13626750993996,403.87223381562575,383.64126231558186,320.03200928718644,414.7936905519308,4.959,11.49,9.13,11.269,9.069,11.49,373.7069370533258,384.08277038665915,109686.25297514413,10.375833333333333,2019,15,141,100,37,72,5.2,-0.8,-2.4,4,4.4,NA,NA,NA,NA,NA,NA,NA
